算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽,附加JSON
random,44,149,random,15819278.186070975,4946578.093523305,1440001019.0836034,229.3051367603446,,2.728271722793579,0,256x256,6,4,4x4,2,40,2048,{}
random,44,150,random,11722552.334899025,2699413.1621822165,1152943099.0836034,31.308010136344617,,2.787510871887207,0,256x256,8,4,4x4,1,40,512,{}
random,44,151,random,13697377.36758664,2693906.9441276425,1152740818.1236033,26.90026133634462,,2.7856903076171875,0,256x256,8,1,4x4,3,20,2048,{}
random,44,152,random,46040361.32217681,16326480.400301907,1642521735.9225888,248.95140435759717,,3.6164889335632324,0,256x256,4,3,8x8,3,10,1024,{}
random,44,153,random,18678132.42618049,4828817.613848307,1239606738.1236033,136.7847479603446,,2.820391893386841,0,256x256,7,1,4x4,3,10,2048,{}
random,44,154,random,28753332.125023387,6853831.857660688,2081870975.5369163,75.36158742494106,,2.983370065689087,0,512x512,4,2,8x8,1,40,512,{}
random,44,155,random,38395560.00130569,13994336.11682139,1624171655.9225888,152.52388435759715,,3.0592570304870605,0,256x256,7,3,8x8,3,80,512,{}
random,44,156,random,38913220.80130552,14010691.921595788,1624323961.586589,155.26274515759715,,3.446974992752075,0,256x256,7,4,8x8,3,40,512,{}
random,44,157,random,11554207.488414401,2684600.1489854166,1152827509.9636033,28.789296536344615,,3.0394139289855957,0,256x256,8,3,4x4,3,80,2048,{}
random,44,158,random,15825871.125524102,4946578.093523305,1253735419.0836034,229.3051367603446,,2.6547248363494873,0,256x256,4,4,4x4,2,40,512,{}
random,44,159,random,32358597.596297506,11143106.471518511,1509598802.674589,30.215839525597165,,3.2352750301361084,0,256x256,8,1,8x8,2,80,2048,{}
random,44,160,random,15814539.83255535,4931765.080326505,1439885429.9636033,226.78642316034464,,2.904923915863037,0,256x256,6,3,4x4,2,40,1024,{}
random,44,161,random,39478453.86474053,14381431.241073383,1624095503.090589,151.15445395759716,,3.2979440689086914,0,256x256,7,2,8x8,0,10,2048,{}
random,44,162,random,26155892.322776224,6025189.148559784,2062169379.376916,46.20600182494107,,3.0996179580688477,0,512x512,7,1,8x8,1,40,2048,{}
random,44,163,random,28803393.57551045,7578538.385046603,2344793379.3769155,74.90488182494107,,2.8643319606781006,0,512x512,6,1,8x8,2,80,1024,{}
random,44,164,random,15217393.043920463,2305871.6484396267,1067673108.2298399,41.83287987120663,,2.39835524559021,0,512x512,7,4,4x4,3,40,1024,{}
